,Action,Alpha,Epsilon,Error,Max V,Mean V,Reward,State,Time
143,0,0.023759255478829344,0.23759255478829303,0.0,0.0,0.0,0.0,15,0.01699995994567871
144,1,0.02352166292404105,0.2352166292404101,0.0,0.0,0.0,0.0,15,0.01699995994567871
145,0,0.02328644629480064,0.232864462948006,0.0,0.0,0.0,0.0,15,0.017999887466430664
146,0,0.023053581831852635,0.23053581831852593,0.0,0.0,0.0,0.0,15,0.017999887466430664
147,0,0.022823046013534107,0.22823046013534068,0.0,0.0,0.0,0.0,15,0.017999887466430664
148,3,0.022594815553398765,0.22594815553398728,0.0,0.0,0.0,0.0,15,0.017999887466430664
149,0,0.022368867397864776,0.22368867397864742,0.0,0.0,0.0,0.0,15,0.017999887466430664
150,0,0.02214517872388613,0.22145178723886094,0.0,0.0,0.0,0.0,15,0.017999887466430664
151,0,0.021923726936647268,0.21923726936647234,0.0,0.0,0.0,0.0,15,0.017999887466430664
152,0,0.021704489667280794,0.2170448966728076,0.0,0.0,0.0,0.0,15,0.017999887466430664
153,0,0.021487444770607985,0.21487444770607952,0.0,0.0,0.0,0.0,15,0.017999887466430664
154,0,0.021272570322901904,0.21272570322901874,0.0,0.0,0.0,0.0,15,0.01900005340576172
155,0,0.021059844619672884,0.21059844619672854,0.0,0.0,0.0,0.0,15,0.01900005340576172
156,0,0.020849246173476155,0.20849246173476127,0.0,0.0,0.0,0.0,15,0.01900005340576172
157,0,0.020640753711741393,0.20640753711741366,0.0,0.0,0.0,0.0,15,0.01900005340576172
158,0,0.020434346174623978,0.20434346174623952,0.0,0.0,0.0,0.0,15,0.01900005340576172
159,2,0.020230002712877736,0.20230002712877712,0.0,0.0,0.0,0.0,15,0.01900005340576172
160,0,0.02002770268574896,0.20027702685748935,0.0,0.0,0.0,0.0,15,0.01900005340576172
161,0,0.01982742565889147,0.19827425658891445,0.0,0.0,0.0,0.0,15,0.01900005340576172
162,1,0.019629151402302553,0.1962915140230253,0.0,0.0,0.0,0.0,15,0.01900005340576172
163,0,0.019432859888279527,0.19432859888279505,0.0,0.0,0.0,0.0,15,0.01900005340576172
164,0,0.019238531289396732,0.1923853128939671,0.0,0.0,0.0,0.0,15,0.019999980926513672
165,0,0.019046145976502765,0.19046145976502743,0.0,0.0,0.0,0.0,15,0.019999980926513672
166,0,0.018855684516737737,0.18855684516737714,0.0,0.0,0.0,0.0,15,0.019999980926513672
167,0,0.01866712767157036,0.18667127671570335,0.0,0.0,0.0,0.0,15,0.019999980926513672
168,0,0.018480456394854655,0.18480456394854633,0.0,0.0,0.0,0.0,15,0.019999980926513672
169,0,0.018295651830906107,0.18295651830906087,0.0,0.0,0.0,0.0,15,0.019999980926513672
170,0,0.018112695312597047,0.18112695312597027,0.0,0.0,0.0,0.0,15,0.019999980926513672
171,1,0.017931568359471076,0.17931568359471056,0.0,0.0,0.0,0.0,15,0.019999980926513672
172,0,0.017752252675876365,0.17752252675876345,0.0,0.0,0.0,0.0,15,0.019999980926513672
173,0,0.0175747301491176,0.17574730149117582,0.0,0.0,0.0,0.0,15,0.019999980926513672
174,0,0.017398982847626424,0.17398982847626407,0.0,0.0,0.0,0.0,15,0.020999908447265625
175,0,0.01722499301915016,0.17224993019150142,0.0,0.0,0.0,0.0,15,0.020999908447265625
176,0,0.01705274308895866,0.1705274308895864,0.0,0.0,0.0,0.0,15,0.020999908447265625
177,0,0.01688221565806907,0.16882215658069055,0.0,0.0,0.0,0.0,15,0.020999908447265625
178,0,0.01671339350148838,0.16713393501488363,0.0,0.0,0.0,0.0,15,0.020999908447265625
179,0,0.016546259566473494,0.16546259566473479,0.0,0.0,0.0,0.0,15,0.020999908447265625
180,0,0.01638079697080876,0.16380796970808745,0.0,0.0,0.0,0.0,15,0.020999908447265625
181,0,0.016216989001100673,0.16216989001100657,0.0,0.0,0.0,0.0,15,0.020999908447265625
182,0,0.016054819111089667,0.1605481911108965,0.0,0.0,0.0,0.0,15,0.020999908447265625
183,0,0.01589427091997877,0.15894270919978754,0.0,0.0,0.0,0.0,15,0.02200007438659668
184,0,0.01573532821077898,0.15735328210778965,0.0,0.0,0.0,0.0,15,0.02200007438659668
185,0,0.015577974928671192,0.15577974928671176,0.0,0.0,0.0,0.0,15,0.02200007438659668
186,0,0.01542219517938448,0.15422195179384465,0.0,0.0,0.0,0.0,15,0.02200007438659668
187,0,0.015267973227590634,0.1526797322759062,0.0,0.0,0.0,0.0,15,0.02200007438659668
188,0,0.015115293495314729,0.15115293495314713,0.0,0.0,0.0,0.0,15,0.02200007438659668
189,0,0.01496414056036158,0.14964140560361566,0.0,0.0,0.0,0.0,15,0.02200007438659668
190,0,0.014814499154757965,0.1481449915475795,0.0,0.0,0.0,0.0,15,0.02200007438659668
191,0,0.014666354163210386,0.1466635416321037,0.0,0.0,0.0,0.0,15,0.02200007438659668
192,1,0.014519690621578282,0.14519690621578268,0.0,0.0,0.0,0.0,15,0.02200007438659668
193,0,0.014374493715362499,0.14374493715362485,0.0,0.0,0.0,0.0,15,0.023000001907348633
194,0,0.014230748778208874,0.1423074877820886,0.0,0.0,0.0,0.0,15,0.023000001907348633
195,0,0.014088441290426785,0.1408844129042677,0.0,0.0,0.0,0.0,15,0.023000001907348633
196,0,0.013947556877522518,0.13947556877522502,0.0,0.0,0.0,0.0,15,0.023000001907348633
197,0,0.013808081308747293,0.13808081308747278,0.0,0.0,0.0,0.0,15,0.023000001907348633
198,0,0.01367000049565982,0.13670000495659804,0.0,0.0,0.0,0.0,15,0.023000001907348633
199,0,0.013533300490703223,0.13533300490703207,0.0,0.0,0.0,0.0,14,0.023999929428100586
200,3,0.01339796748579619,0.13397967485796175,0.0,0.0,0.0,0.0,14,0.023999929428100586
201,0,0.013263987810938228,0.13263987810938213,0.0,0.0,0.0,0.0,13,0.023999929428100586
202,0,0.013131347932828845,0.1313134793282883,0.0,0.0,0.0,0.0,13,0.023999929428100586
203,0,0.013000034453500557,0.13000034453500542,0.0,0.0,0.0,0.0,12,0.023999929428100586
204,0,0.01287003410896555,0.12870034108965536,0.0,0.0,0.0,0.0,12,0.023999929428100586
205,0,0.012741333767875895,0.12741333767875881,0.0,0.0,0.0,0.0,12,0.023999929428100586
206,0,0.012613920430197136,0.12613920430197123,0.0,0.0,0.0,0.0,12,0.023999929428100586
207,0,0.012487781225895164,0.12487781225895152,0.0,0.0,0.0,0.0,12,0.023999929428100586
208,0,0.012362903413636212,0.123629034136362,0.0,0.0,0.0,0.0,12,0.02499985694885254
209,1,0.01223927437949985,0.12239274379499838,0.0,0.0,0.0,0.0,12,0.02499985694885254
210,0,0.012116881635704851,0.1211688163570484,0.0,0.0,0.0,0.0,12,0.02499985694885254
211,0,0.011995712819347802,0.11995712819347792,0.0,0.0,0.0,0.0,12,0.02499985694885254
212,0,0.011875755691154323,0.11875755691154315,0.0,0.0,0.0,0.0,12,0.02499985694885254
213,0,0.01175699813424278,0.11756998134242772,0.0,0.0,0.0,0.0,12,0.02499985694885254
214,0,0.011639428152900352,0.11639428152900344,0.0,0.0,0.0,0.0,12,0.02499985694885254
215,0,0.011523033871371349,0.11523033871371341,0.0,0.0,0.0,0.0,12,0.02499985694885254
216,0,0.011407803532657634,0.11407803532657627,0.0,0.0,0.0,0.0,12,0.02499985694885254
217,0,0.011293725497331058,0.11293725497331052,0.0,0.0,0.0,0.0,12,0.026000022888183594
